,Codigo Web,Titulo,Barrio,Barrio Catastral,Precio venta,Precio arriendo,Area construida,Area privada,Estrato,Habitaciones,Parqueaderos,Banos,Antiguedad,Interior,Exterior,Zona,Sector,Long,Lat,Direccion,Url
0,10677-M3878533,"Casa en Arriendo, Chico",Chico,,,$8.000.000,230,230 ,4,3,4,5,Más de 20 años,Baño auxiliar@Alarma@Citófonos@Tipo de casa tradicional@Deposito 1@Vista exterior@,Area lote 230 m²@Baños de servicio@Parqueadero visitantes@Vista panorámica@Portería@,,Cerca transporte público@Zona comercial@Zona residencial@,-74.04807,4.681082,,https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-chico-norte-et.-ii-3-habitaciones-5-banos-4-garajes/10677-M3878533
1,14993-M4356780,"Apartamento en Arriendo, Villa Maria",Villa Maria,,,$1.000.000,65,65 ,3,3,,2,Entre 5 y 10 años,Apto para niños@Baño auxiliar@Calefacción@Citófonos@Cocina integral@Tipo de cortinas pesadas@Estudio o biblioteca@Hall de alcobas@Equipado / amoblado@Vigilancia@Zona de lavandería@Instalación de gas natural@Closets 1@Piso 4@Se permite fumar@Permite mascotas@Calentador gas@Tipo de cocina lineal@Tipo de comedor sala comedor@Deposito 0@Tipo de estufa gas@Tipo de parqueadero comunal@Tipo acabado de piso baldosa@Tipo de piso en alcobas baldosa@Tipo de piso en comedor baldosa@Tipo de piso en estudio baldosa@Tipo de piso en sala baldosa@Vista interior@,Acceso para discapacitados@Baños de servicio@Circuito cerrado de TV@Parqueadero visitantes@Conjunto cerrado@Número de Ascensores 0@Portería@Terraza/Balcón ninguno@Vigilancia 24hrs@,Salón comunal@Zona para niños@Zonas verdes@,Cerca centros comerciales@Cerca colegios / universidades@Cerca parques@Cerca supermercados@Cerca transporte público@Sobre vía secundaria@Zona comercial@Zona residencial@,-73.98088,5.035737,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-zipaquira-par-santa-isabel-ii-3-habitaciones-2-banos/14993-M4356780
2,2123-M4413589,"Apartamento en Arriendo, Bella Suiza",Bella Suiza,,,$7.150.000,160,160 ,6,3,3,4,Entre 5 y 10 años,Baño auxiliar@Calefacción@Citófonos@Cocina integral@Comedor auxiliar@Estudio o biblioteca@Parqueadero cubierto@Hall de alcobas@Vigilancia@Zona de lavandería@Instalación de gas natural@Piso 11@Deposito 1@Tipo de estufa gas@Tipo de parqueadero propio@,Area Terraza/Balcón 10 m²@Baños de servicio@Circuito cerrado de TV@Parqueadero visitantes@Vista panorámica@Conjunto cerrado@Portería@Terraza/Balcón balcón@Vigilancia 24hrs@,Cancha(s) de basket@Cancha(s) de fútbol@Cancha(s) de squash@Cancha(s) de tennis@Gimnasio@Zona de BBQ@Zona para niños@Zonas verdes@,Cerca colegios / universidades@Cerca parques@Cerca transporte público@Zona residencial@,-74.0542,4.7150993,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-bella-suiza-3-habitaciones-4-banos-3-garajes/2123-M4413589
3,13436-M4423376,"Casa en Arriendo, Belmira",Belmira,,,$5.200.000,175,175 ,4,3,4,4,Más de 20 años,Apto para niños@Chimenea@Citófonos@Comedor auxiliar@Cuarto de servicio@Estudio o biblioteca@Hall de alcobas@Vigilancia@Zona de lavandería@Instalación de gas natural@Closets 4@Se permite fumar@Permite mascotas@Calentador gas@Tipo de casa condominio@Tipo de cocina en l@Tipo de comedor comedor independiente@Deposito 2@Tipo de estufa gas@Tipo de parqueadero propio@Tipo acabado de piso madera@Tipo de piso en alcobas laminado@,Area lote 175 m²@Circuito cerrado de TV@Jardín@Vista panorámica@Conjunto cerrado@Vigilancia 24hrs@,Sendero peatonal@Zona de BBQ@Zona para niños@Zonas verdes@,Cerca centros comerciales@Cerca colegios / universidades@Cerca parques@Cerca supermercados@Cerca transporte público@Sobre vía secundaria@,0.0,0.0,,https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-belmira-3-habitaciones-4-banos-4-garajes/13436-M4423376
4,755-M4009431,"Casa en Arriendo, Vereda Anatoli",Vereda Anatoli,,,$550.000,240,240 ,3,5,4,5,Entre 10 y 20 años,Apto para niños@Cuarto de servicio@Hall de alcobas@Equipado / amoblado@Zona de lavandería@Instalación de gas propano@Closets 4@Se permite fumar@Permite mascotas@Calentador gas@Tipo de casa tradicional@Tipo de cocina lineal@Tipo de comedor comedor independiente@Tipo de estufa gas@Tipo de parqueadero propio@Vista exterior@,Area lote 10000 m²@Area Terraza/Balcón 20 m²@Jardín@Vista panorámica@Terraza/Balcón balcón@,Sendero peatonal@Zona de BBQ@Zona para niños@Zonas verdes@,Sobre vía secundaria@,0.0,0.0,,https://www.metrocuadrado.com/inmueble/arriendo-casa-la-mesa-vereda-anatoli-5-habitaciones-5-banos-4-garajes/755-M4009431
5,10139-M4148036,"Casa en Arriendo, Condominio aposentos",Condominio aposentos,,,$17.000.000.400,400,400 ,6,5,4,5,Entre 10 y 20 años,Chimenea@Citófonos@Comedor auxiliar@Cuarto de servicio@Estudio o biblioteca@Parqueadero cubierto@Hall de alcobas@Sauna / turco@Zona de lavandería@Instalación de gas natural@Closets 4@Número de líneas teléfonicas 0@Calentador gas@Tipo de casa condominio@Tipo de cocina abierta@Tipo de comedor sala comedor@Deposito 2@Tipo de estufa mixta@Tipo de parqueadero propio@Tipo acabado de piso madera@Tipo de piso en alcobas alfombra@Tipo de piso en comedor madera@Tipo de piso en estudio madera@Tipo de piso en sala madera@Vista exterior@,Area lote 1000 m²@Area Terraza/Balcón 60 m²@Circuito cerrado de TV@Jardín@Piscina@Conjunto cerrado@Terraza/Balcón terraza@,Cancha(s) de basket@Cancha(s) de tennis@Gimnasio@Salón comunal@Sendero peatonal@Zona para niños@Zonas verdes@,Sobre vía secundaria@,0.0,0.0,,https://www.metrocuadrado.com/inmueble/arriendo-casa-sopo-incluye-yerbabuena-condominio-aposentos-5-habitaciones-5-banos-4-garajes/10139-M4148036
6,3155-M4412900,"Casa en Arriendo, Conjunto Monteverde",Conjunto Monteverde,,,$2.500.000,116,116 ,4,3,2,3,Entre 0 y 5 años,Apto para niños@Chimenea@Citófonos@Tipo de cortinas persianas@Estudio o biblioteca@Zona de lavandería@Instalación de gas natural@Closets 3@Número de líneas teléfonicas 0@Permite mascotas@Calentador gas@Tipo de casa condominio@Tipo de cocina abierta@Tipo de comedor sala comedor@Deposito 1@Tipo de estufa gas@Tipo de parqueadero propio@Tipo acabado de piso laminado@Tipo de piso en alcobas laminado@Tipo de piso en comedor laminado@Tipo de piso en estudio laminado@Tipo de piso en sala laminado@Vista exterior@,Area lote 160 m²@Acceso para discapacitados@Circuito cerrado de TV@Jardín@Vista panorámica@Conjunto cerrado@Esquinero@Número de Ascensores 0@Terraza/Balcón ninguno@Vigilancia 24hrs@,Sendero peatonal@Zona de BBQ@Zona para niños@Zonas verdes@,Cerca centros comerciales@Cerca colegios / universidades@Cerca parques@Cerca supermercados@Cerca transporte público@Sobre vía secundaria@,0.0,0.0,,https://www.metrocuadrado.com/inmueble/arriendo-casa-tabio-conjunto-monteverde-3-habitaciones-3-banos-2-garajes/3155-M4412900
7,871-M3237005,"Casa en Arriendo, San Carlos",San Carlos,,,$4.500.000,600,588 ,2,5,,5,Más de 20 años,Calentador no tiene@Tipo de casa tradicional@,Area lote 588 m²@,,,-74.13149,4.56784,,https://www.metrocuadrado.com/inmueble/arriendo-casa-bogota-banco-central-5-habitaciones-5-banos/871-M3237005
8,179-M4467484,Casa en Arriendo,,,,$2.400.000,280,280 ,4,3,2,3,Más de 20 años,Apto para niños@Chimenea@Parqueadero cubierto@Hall de alcobas@Zona de lavandería@Instalación de gas propano@Closets 2@Número de líneas teléfonicas 0@Se permite fumar@Permite mascotas@Calentador electrico@Tipo de casa tradicional@Tipo de cocina en l@Tipo de comedor sala comedor@Deposito 1@Tipo de estufa mixta@Tipo de parqueadero propio@Tipo acabado de piso cerámica@Tipo de piso en alcobas cerámica@Tipo de piso en comedor cerámica@Tipo de piso en sala cerámica@Vista exterior@,Area lote 350 m²@Area Terraza/Balcón 8 m²@Acceso para discapacitados@Jardín@Número de Ascensores 0@Terraza/Balcón balcón@Vigilancia 0@,Zona de BBQ@,Sobre vía secundaria@,0.0,0.0,,https://www.metrocuadrado.com/inmueble/arriendo-casa-la-ceja-3-habitaciones-3-banos-2-garajes/179-M4467484
9,4830-M2829165,"Casa en Venta y Arriendo, JAVERIANA SUCRE",JAVERIANA SUCRE,,$3.800.000.000.000,$19.000.000,598,550 ,4,5,4,5,Entre 10 y 20 años,Apto para niños@Citófonos@Tipo de cortinas persianas@Hall de alcobas@Puerta seguridad@Instalación de gas natural@Closets 4@Número de líneas teléfonicas 0@Calentador gas@Tipo de casa tradicional@Tipo de comedor comedor independiente@Deposito 0@Tipo de estufa gas@Tipo de parqueadero propio@Tipo de piso en alcobas madera@Tipo de piso en comedor madera@Tipo de piso en estudio madera@Tipo de piso en sala madera@Vista exterior@,Area lote 550 m²@Area Terraza/Balcón 3 m²@Circuito cerrado de TV@Número de Ascensores 0@Terraza/Balcón balcón@,Zona de BBQ@,Cerca centros comerciales@Cerca colegios / universidades@Cerca parques@Cerca supermercados@Cerca transporte público@Sobre vía secundaria@,-74.065094,4.626545,,https://www.metrocuadrado.com/inmueble/venta-casa-bogota-sucre-5-habitaciones-5-banos-4-garajes/4830-M2829165
